row	panel	samples	kind	platform	depth_M	euro
Heart (DCM), mean of four samples	Per gene	J26675+J26676+J26677+J26678	genes	NovaSeq 6000 S4	200	0.2596894767107534
Heart (DCM), mean of four samples	Per gene	J26675+J26676+J26677+J26678	genes	NovaSeq 6000 S4	250	0.4014222222222221
Heart (DCM), mean of four samples	Per gene	J26675+J26676+J26677+J26678	genes	NovaSeq 6000 S4	300	0.7168253968253967
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	50	0.0019270946043555724
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	100	0.01028249622950373
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	150	0.018432770553737834
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	200	0.03120666523861598
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	250	0.057523457226280425
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 SP	300	0.14261425112061418
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	50	0.0016319038123589096
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	100	0.008707431778163563
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	150	0.015609253677009202
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	200	0.026426453511313543
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	250	0.048712060599133425
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S1	300	0.12076871554433505
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	50	0.000681213090272802
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	100	0.0036347831686037156
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	150	0.0065158423270040965
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	200	0.011031315648053156
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	250	0.020334098788779318
Heart (DCM), mean of four samples	Per junction	J26675+J26676+J26677+J26678	junctions	NovaSeq 6000 S4	300	0.050413038624693
