dataset	sample	kind	scope	category	slope	p	trend
Heart (DCM)	J26677	junctions	in at least one	1<=TPM<10	109.0	0.008534920414227098	increasing
Heart (DCM)	J26677	junctions	in 100	1<=TPM<10	1059.0	0.008534920414227098	increasing
Heart (DCM)	J26677	genes	in at least one	10<=TPM<inf	27.0	0.008534920414227098	increasing
Heart (DCM)	J26677	genes	in 100	10<=TPM<inf	45.0	0.008534920414227098	increasing
Heart (DCM)	J26677	junctions	in at least one	10<=TPM<inf	177.0	0.008534920414227098	increasing
Heart (DCM)	J26677	junctions	in 100	10<=TPM<inf	223.0	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in at least one	0<=TPM<0.1	325.0	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in 100	0<=TPM<0.1	376.0	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in at least one	0<=TPM<0.1	2099.6666666666665	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in 100	0<=TPM<0.1	1758.0	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in at least one	0.1<=TPM<0.5	67.33333333333333	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in 100	0.1<=TPM<0.5	232.0	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in at least one	0.1<=TPM<0.5	801.6666666666666	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in 100	0.1<=TPM<0.5	1770.3333333333333	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in at least one	0.5<=TPM<1	9.333333333333334	0.012898873935081712	increasing
Heart (DCM)	J26678	genes	in 100	0.5<=TPM<1	87.66666666666667	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in at least one	0.5<=TPM<1	-9.666666666666666	1.0	no trend
Heart (DCM)	J26678	junctions	in 100	0.5<=TPM<1	682.3333333333334	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in at least one	1<=TPM<10	42.333333333333336	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in 100	1<=TPM<10	139.0	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in at least one	1<=TPM<10	216.0	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in 100	1<=TPM<10	1052.0	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in at least one	10<=TPM<inf	32.0	0.008534920414227098	increasing
Heart (DCM)	J26678	genes	in 100	10<=TPM<inf	51.0	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in at least one	10<=TPM<inf	191.33333333333334	0.008534920414227098	increasing
Heart (DCM)	J26678	junctions	in 100	10<=TPM<inf	230.33333333333334	0.008534920414227098	increasing
