depth	term	coef	std_err	z	p_value	ci_low	ci_high	OR	OR_low	OR_high	p_adj	sig
50	C(Gene_type)[T.Other]	-1.2667920794420695	0.5231455446617926	-2.42149071586003	0.015456995868613259	-2.2921385056517734	-0.24144565323236566	0.281733953842182	0.10105013434411744	0.7854914915525737	0.02318549380291989	*
50	C(Gene_type)[T.Pseudogene]	-0.7707641934994328	0.04615973653053654	-16.697759810425715	1.3607873982539227e-62	-0.8612356146351423	-0.6802927723637233	0.46265937189773515	0.42263953995277886	0.5064686906216177	4.082362194761768e-62	***
50	C(Gene_type)[T.lncRNA]	-0.7250434389966051	0.025885621239710582	-28.009505056202062	1.2446363122797294e-172	-0.7757783243438828	-0.6743085536493273	0.4843035308389965	0.4603453435392906	0.5095085966979048	7.467817873678376e-172	***
50	C(Region)[T.3UTR]	-0.7870536071847849	0.062035954670805284	-12.6870556173641	6.975930528421289e-37	-0.9086418440861226	-0.6654653702834472	0.45518397222825585	0.40307128610268633	0.5140342557686168	1.6742233268211093e-36	***
50	C(Region)[T.5UTR]	-0.03910797036584409	0.02531682100962616	-1.5447425390010123	0.12240855102380133	-0.08872802774775834	0.010512087016070155	0.9616468741761001	0.9150944200236811	1.0105675331172195	0.16321140136506843	
50	Intercept	1.8412093875722275	0.015019758511490539	122.58581828487125	0.0	1.811771201833217	1.870647573311238	6.304157822720498	6.121279858298891	6.492499407601419		
50	Is_fast_evolving[T.True]	-0.16396591238803376	0.03287477628486297	-4.987590211025438	6.113707473515686e-07	-0.22839928990617667	-0.09953253486989086	0.8487709539620181	0.7958064389100054	0.905260496856903	1.0480641383169747e-06	***
50	Is_heart_specific[T.True]	-0.023854354517215567	0.12141035393250747	-0.19647710219571804	0.8442367531749426	-0.2618142755751911	0.21410556654076	0.9764279117167276	0.7696539539722478	1.2387534188044564	0.8442367531749426	
50	z_Compactness	-0.01447884095860376	0.0151405386538166	-0.95629629101432	0.3389225632507228	-0.04415375142662085	0.015196069509413329	0.9856254734019421	0.9568068357472521	1.0153121168496966	0.36973370536442485	
50	z_GC_content	-0.2364543603429711	0.010903406795090434	-21.686282534137984	2.7644402820348124e-104	-0.25782464497013763	-0.21508407571580454	0.7894219104250499	0.7727307224460347	0.8064736324789483	1.105776112813925e-103	***
50	z_PSI_fixed	0.07054333230694272	0.008589948049435121	8.212311867425285	2.169698487070925e-16	0.0537073435009798	0.08737932111290564	1.0730910679347951	1.0551757529222157	1.091310558352383	4.33939697414185e-16	***
50	z_log_TPM	1.0135315151169104	0.02842746918841821	35.65324469790786	2.0986839368881204e-278	0.9578146993359886	1.0692483308978322	2.7553142876961023	2.605995362974597	2.913188922683545	2.5184207242657446e-277	***
50	z_log_gene_length	0.0183990268220157	0.01547503301626886	1.1889491158224252	0.23445969090784824	-0.011931480549439506	0.04872953419347091	1.0185693317945177	0.9881394173123196	1.0499363404550988	0.28135162908941785	
100	C(Gene_type)[T.Other]	-0.6202064541430817	0.34411077485271413	-1.8023453476821287	0.07149108802364082	-1.2946511795465727	0.054238271260409254	0.5378333882004835	0.2739934221739705	1.0557361237655738	0.08578930562836898	
100	C(Gene_type)[T.Pseudogene]	-0.5444394752145003	0.05194316412537548	-10.481446103290589	1.0512385774171476e-25	-0.6462462061432892	-0.4426327442857114	0.5801668901377738	0.5240091116625492	0.6423430679367553	3.1537157322514427e-25	***
100	C(Gene_type)[T.lncRNA]	-0.49184205701153766	0.03019287749959719	-16.29000273385998	1.1622403310492303e-59	-0.551019009500378	-0.4326651045226974	0.6114989401756407	0.5763621924874232	0.6487777281541438	6.973441986295381e-59	***
100	C(Region)[T.3UTR]	-0.671251472887157	0.07318385743261276	-9.172124788656314	4.6378570163184825e-20	-0.814689197704792	-0.5278137480695221	0.5110685889232006	0.44277692206151104	0.5898932161321326	1.1130856839164359e-19	***
100	C(Region)[T.5UTR]	0.07712985217569811	0.03282153316275934	2.3499771260902826	0.018774564779255987	0.012800829259302787	0.14145887509209343	1.0801823313120715	1.0128831105890777	1.1519531293203142	0.025032753039007982	*
100	Intercept	3.0228118084835103	0.02864342439640549	105.53248685107805	0.0	2.96667172827266	3.0789518886943608	20.548990352776457	19.427153031278277	21.73560911568708		
