	log_TPM	PSI	PSI_ext	Gene_type	Compactness	Region	Is_fast_evolving	Is_heart_specific	GC_content
log_TPM	1.0	-0.009074385543691374	0.0670321850117898	0.15973555774027037	0.41382115462022384	0.009803153452507454	-0.12264235482397819	0.16343129324201014	0.2592940168955513
PSI	-0.009074385543691374	1.0	-0.17943145298399435	0.07193153669650605	-0.016395923368366042	0.12306405407040018	-0.014425733745952851	-0.00976736486747378	0.0003878153206268527
PSI_ext	0.0670321850117898	-0.17943145298399435	1.0	0.10617050387666893	-0.004605824012252181	0.10473009637808021	-0.0025202184905666414	0.0041618221929574034	-0.004484709809974093
Gene_type	0.15973555774027037	0.07193153669650605	0.10617050387666893	1.0	0.02050879670533959	0.027085334938659285	0.03566063115768793	0.0478670326968826	0.05124818485977532
Compactness	0.41382115462022384	-0.016395923368366042	-0.004605824012252181	0.02050879670533959	1.0	0.01870788041079532	-0.18644661518512176	-0.015127644048770329	0.4991655002357278
Region	0.009803153452507454	0.12306405407040018	0.10473009637808021	0.027085334938659285	0.01870788041079532	1.0	0.014977803845032563	0.04200597155237928	0.025513869262963944
Is_fast_evolving	-0.12264235482397819	-0.014425733745952851	-0.0025202184905666414	0.03566063115768793	-0.18644661518512176	0.014977803845032563	1.0	0.01096261043388794	-0.15827296481878397
Is_heart_specific	0.16343129324201014	-0.00976736486747378	0.0041618221929574034	0.0478670326968826	-0.015127644048770329	0.04200597155237928	0.01096261043388794	1.0	0.014052988250744466
GC_content	0.2592940168955513	0.0003878153206268527	-0.004484709809974093	0.05124818485977532	0.4991655002357278	0.025513869262963944	-0.15827296481878397	0.014052988250744466	1.0
